colorectal_cancer,lung_cancer,breast_cancer,
443384,261236,432845,
4181344,4311499,4158563,
443381,257503,4162253,
443390,4157454,81251,
4180792,442139,
4180791,4151250,
443382,4092217,
4180790,4157333,
443391,
435754,
443383,
4089661,
